Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
06/15/2021,83.40689087,53.73743057,36.61381531,102.0956268,141.4897766,69.04957581,64.50099945,122.921814,171.3075714,79.23565674,44.10572433
06/16/2021,82.4832077,53.45051956,36.57448196,101.1287384,140.7253876,68.13191223,63.53033066,122.4486694,171.3871002,78.54130554,43.70635223
06/17/2021,80.6456604,51.63345337,35.49298096,99.56987,142.3534393,68.37597656,63.87976837,123.3851089,172.0332031,78.86863708,43.87194443
06/18/2021,79.33874512,50.10329056,34.63760757,98.27738953,141.0529938,67.16542816,62.21992493,121.9755096,171.1286621,77.9461441,43.18035889
06/21/2021,80.98589325,52.23843384,35.44602585,100.4389954,142.5646667,67.93577576,63.02597046,123.4410782,172.4476776,78.70236206,44.0381813
06/22/2021,81.31158447,52.58623505,35.50525284,100.5478592,143.8575439,68.03403473,62.64447021,123.7082748,174.0703125,79.37808228,43.84210968
06/23/2021,80.78852081,52.7311554,35.57434845,100.3202209,143.69841,67.61151123,61.97928619,123.1936798,175.4142151,79.29859161,43.70485687
06/24/2021,81.04512024,53.18523407,36.0185318,101.1021194,144.6034393,67.94559479,61.92059326,123.8270187,176.0115051,80.04387665,43.49898148
06/25/2021,81.05497742,53.46540833,36.45284653,101.3000565,144.4343719,68.46636963,62.58577728,124.3910904,177.1264343,80.14324951,43.81269836
06/28/2021,81.05497742,51.65875626,36.18634033,100.7656021,145.9460449,68.52531433,62.98683929,124.5791092,177.1662598,81.04753113,43.83230209
06/29/2021,81.01551056,51.40756226,36.05801392,100.5676575,147.0101929,68.22072601,61.9695015,124.7176514,177.6042786,80.61030579,43.80289459
06/30/2021,81.2326355,52.04520798,36.2159462,101.349556,146.851059,68.75131989,61.85211945,124.6384811,177.7436523,80.46124268,43.45976257
07/01/2021,81.67674255,52.95336533,36.50220108,102.0720596,147.0996857,68.54498291,62.52708054,125.7468262,178.7490997,81.05747223,43.63622665
07/02/2021,81.79516602,52.83742905,36.46271896,102.230423,149.0390015,68.71202087,62.62490082,126.9541168,180.3219604,81.62389374,43.84210968
07/06/2021,80.58126831,51.11772537,35.89021683,101.2505798,149.6058807,68.42707062,62.88901901,126.8353653,180.5310059,81.42514801,44.23425674
07/07/2021,81.42014313,50.28685379,35.93956757,102.2601166,150.421402,68.79062653,63.29986191,127.6369324,180.4314575,81.30590057,44.45973969
07/08/2021,80.31480408,49.99701691,35.21900177,100.834877,148.9992218,68.53515625,63.11400604,126.9343338,179.98349,80.41155243,44.4205246
07/09/2021,81.89385986,51.05975723,36.23569107,102.4283676,150.3716583,68.92818451,63.19226456,127.369751,181.665863,81.12702179,45.00874329
07/12/2021,82.1603241,50.98246765,36.59103775,102.5669327,150.4909973,68.82009888,63.397686,127.617157,182.9102173,81.70339203,45.40089798
07/13/2021,81.41027069,50.59601593,36.19620514,101.5771942,151.107605,68.80044556,62.91836548,127.4983826,180.7201385,81.49471283,44.81267166
07/14/2021,81.24250031,49.08885956,36.02840424,101.5672913,152.2214661,69.40965271,63.46615982,127.3796463,180.3916473,81.43508148,45.20482254
07/15/2021,81.25237274,48.40290833,36.1468544,101.7652435,150.9683685,69.69460297,64.18025208,126.9343338,179.4160614,80.85873413,45.27344894
07/16/2021,80.0286026,47.03100967,35.6533165,100.8645782,149.4765778,69.8026886,64.8258667,127.2806778,177.2060852,80.35192871,45.32246399
07/19/2021,78.31137085,45.36927414,34.65636444,98.75642395,147.4179382,69.59634399,63.79875946,125.9447403,175.175293,79.12965393,44.61659622
07/20/2021,79.19959259,45.97793579,35.51512146,101.517807,149.6058807,69.61598969,64.07265472,127.4785995,178.4106293,80.0240097,45.42050552
07/21/2021,80.06806946,47.58170319,36.12711334,102.4877548,151.0479431,69.43911743,63.36833572,127.6863937,180.0531616,80.68978882,45.2832489
07/22/2021,80.0976944,47.05033875,35.73228073,102.1116486,152.1618042,69.3212204,63.46615982,128.6265259,180.8296509,80.96804047,44.95972824
